fast_priority_rank,priority_tier,galaxy,projection_label,readout_lane,role,n_rotmod_points,quality_Q,inclination_deg,projection_leverage,rhi_over_rdisk,fast_baryonic_gap_rmse_km_s,fast_baryonic_gap_outer_abs_km_s,primary_blocker,next_action,formula_family,manifest_confidence,manifest_caveat,fast_priority_score,triage_use_only_not_endpoint,selection_used_vobs_or_residual,contains_vobs_gap_for_acquisition_triage,endpoint_scores_run_here,claim_boundary
1,P0_acquire_first,UGC12506,projection_review_for_K_exponential_disk,K_exponential_disk_projection_enriched_candidate,fresh_projection_catalogue_queue,31,2,86.0,0.9951340343707851,7.995934959349594,116.02345816251234,108.38989623536044,orientation_gate_blocked,resolve source-native orientation promotion before projection catalogue use,K_exponential_disk,1.0,none,0.8802768068741571,True,False,True,False,projection_queue_fast_priority_acquisition_triage_not_endpoint
2,P0_acquire_first,IC4202,edge_on_smooth_disk_projection,K_edge_on_smooth_disk_closure_projection_candidate,formula_blocked_candidate,32,1,90.0,1.0,6.7217573221757325,74.94486386856576,103.22717833331643,projection_load_values_and_closure_normalization_unfrozen,resolve source-native H I regularity closure map or scalar-to-kernel theorem,,,,0.8691103819820684,True,False,True,False,projection_queue_fast_priority_acquisition_triage_not_endpoint
3,P0_acquire_first,IC2574,projection_review_for_K_scale_tail_spiral,K_scale_tail_spiral_projection_enriched_candidate,fresh_projection_catalogue_queue,34,2,75.0,0.9330127018922194,3.8884892086330938,23.78354699928544,35.476737361724055,orientation_gate_blocked,resolve source-native orientation promotion before projection catalogue use,K_scale_tail_spiral,1.0,none,0.6160108074026035,True,False,True,False,projection_queue_fast_priority_acquisition_triage_not_endpoint
4,P1_acquire_after_P0,UGC07151,projection_review_for_K_exponential_disk,K_exponential_disk_projection_enriched_candidate,fresh_projection_catalogue_queue,11,1,90.0,1.0,5.112,27.222430951846494,32.09531997622021,orientation_gate_blocked,resolve source-native orientation promotion before projection catalogue use,K_exponential_disk,1.0,none,0.6114343786357018,True,False,True,False,projection_queue_fast_priority_acquisition_triage_not_endpoint
5,P1_acquire_after_P0,UGCA444,projection_review_for_K_scale_tail_spiral,K_scale_tail_spiral_projection_enriched_candidate,fresh_projection_catalogue_queue,36,2,78.0,0.9567727288213004,2.5060240963855422,14.471300240102812,23.999743009302243,orientation_gate_blocked,resolve source-native orientation promotion before projection catalogue use,K_scale_tail_spiral,1.0,none,0.580458388552404,True,False,True,False,projection_queue_fast_priority_acquisition_triage_not_endpoint
6,P1_acquire_after_P0,UGC06818,projection_review_for_K_scale_tail_spiral,K_scale_tail_spiral_projection_enriched_candidate,fresh_projection_catalogue_queue,8,2,75.0,0.9330127018922194,5.0071942446043165,27.07042994637209,42.13532349457073,orientation_gate_blocked,resolve source-native orientation promotion before projection catalogue use,K_scale_tail_spiral,1.0,none,0.48875924812078064,True,False,True,False,projection_queue_fast_priority_acquisition_triage_not_endpoint
7,P3_low_efficiency_or_weak_data,UGC06983,projection_review_for_K_scale_tail_spiral,K_scale_tail_spiral_projection_enriched_candidate,fresh_projection_catalogue_queue,17,1,49.0,0.5695865504800327,5.006230529595015,54.54130717033093,59.94076896240627,orientation_gate_blocked,resolve source-native orientation promotion before projection catalogue use,K_scale_tail_spiral,1.0,none,0.4581717057309491,True,False,True,False,projection_queue_fast_priority_acquisition_triage_not_endpoint
8,P3_low_efficiency_or_weak_data,UGC06917,projection_review_for_K_scale_tail_spiral,K_scale_tail_spiral_projection_enriched_candidate,fresh_projection_catalogue_queue,11,1,56.0,0.6873032967079561,4.590579710144928,46.43992237689648,54.69655738766945,memory_or_history_acceptance_blocked,replace inverse memory proxy with residual-blind source/history evidence or mark memory not required,K_scale_tail_spiral,1.0,none,0.41900345893666857,True,False,True,False,projection_queue_fast_priority_acquisition_triage_not_endpoint
9,P2_keep_in_queue,CamB,projection_review_for_K_scale_tail_spiral,K_scale_tail_spiral_projection_enriched_candidate,fresh_projection_catalogue_queue,9,2,65.0,0.8213938048432696,2.5744680851063833,3.3556068721726025,7.494360389095682,orientation_gate_blocked,resolve source-native orientation promotion before projection catalogue use,K_scale_tail_spiral,1.0,none,0.36686158451647843,True,False,True,False,projection_queue_fast_priority_acquisition_triage_not_endpoint
10,P2_keep_in_queue,UGC07577,projection_review_for_K_scale_tail_spiral,K_scale_tail_spiral_projection_enriched_candidate,fresh_projection_catalogue_queue,9,2,63.0,0.7938926261462367,2.3,2.444233288569486,5.405531475694493,memory_or_history_acceptance_blocked,replace inverse memory proxy with residual-blind source/history evidence or mark memory not required,K_scale_tail_spiral,1.0,none,0.3525285252292474,True,False,True,False,projection_queue_fast_priority_acquisition_triage_not_endpoint
11,P3_low_efficiency_or_weak_data,UGC04305,projection_review_for_K_scale_tail_spiral,K_scale_tail_spiral_projection_enriched_candidate,fresh_projection_catalogue_queue,22,3,40.0,0.41317591116653474,6.387931034482759,6.361564686999685,0.23266465392144653,orientation_gate_blocked,resolve source-native orientation promotion before projection catalogue use,K_scale_tail_spiral,1.0,none,-0.04031293857150742,True,False,True,False,projection_queue_fast_priority_acquisition_triage_not_endpoint
12,P3_low_efficiency_or_weak_data,NGC6789,projection_review_for_K_scale_tail_spiral,K_scale_tail_spiral_projection_enriched_candidate,fresh_projection_catalogue_queue,4,2,43.0,0.4651217631279373,3.129032258064516,26.49840257662861,41.184502348364745,orientation_gate_blocked,resolve source-native orientation promotion before projection catalogue use,K_scale_tail_spiral,0.8,few_rotation_points,-0.08028680327929649,True,False,True,False,projection_queue_fast_priority_acquisition_triage_not_endpoint
