galaxy,predeclared_rank,required_field,source_hint,field_status,uses_vobs_or_residual,endpoint_scores_allowed,claim_boundary
UGC11455,1,lambda_spin,literature halo/spin or HIghMass-like dynamical modelling,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
UGC11455,1,chi2_NFW,source-native dark-matter halo fit table,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
UGC11455,1,chi2_ISO,same source-native halo fit table as chi2_NFW,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
UGC11455,1,PV/envelope notes,HI velocity-field or PV/envelope-tracing source,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
UGC11455,1,independent replay freeze,freeze beta_cl before endpoint scoring,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
ESO563-G021,2,lambda_spin,literature halo/spin or HIghMass-like dynamical modelling,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
ESO563-G021,2,chi2_NFW,source-native dark-matter halo fit table,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
ESO563-G021,2,chi2_ISO,same source-native halo fit table as chi2_NFW,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
ESO563-G021,2,PV/envelope notes,HI velocity-field or PV/envelope-tracing source,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
ESO563-G021,2,independent replay freeze,freeze beta_cl before endpoint scoring,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
IC4202,3,lambda_spin,literature halo/spin or HIghMass-like dynamical modelling,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
IC4202,3,chi2_NFW,source-native dark-matter halo fit table,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
IC4202,3,chi2_ISO,same source-native halo fit table as chi2_NFW,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
IC4202,3,PV/envelope notes,HI velocity-field or PV/envelope-tracing source,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
IC4202,3,independent replay freeze,freeze beta_cl before endpoint scoring,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC0891,4,lambda_spin,literature halo/spin or HIghMass-like dynamical modelling,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC0891,4,chi2_NFW,source-native dark-matter halo fit table,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC0891,4,chi2_ISO,same source-native halo fit table as chi2_NFW,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC0891,4,PV/envelope notes,HI velocity-field or PV/envelope-tracing source,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC0891,4,independent replay freeze,freeze beta_cl before endpoint scoring,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC4013,5,lambda_spin,literature halo/spin or HIghMass-like dynamical modelling,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC4013,5,chi2_NFW,source-native dark-matter halo fit table,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC4013,5,chi2_ISO,same source-native halo fit table as chi2_NFW,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC4013,5,PV/envelope notes,HI velocity-field or PV/envelope-tracing source,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC4013,5,independent replay freeze,freeze beta_cl before endpoint scoring,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC2841,6,lambda_spin,literature halo/spin or HIghMass-like dynamical modelling,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC2841,6,chi2_NFW,source-native dark-matter halo fit table,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC2841,6,chi2_ISO,same source-native halo fit table as chi2_NFW,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC2841,6,PV/envelope notes,HI velocity-field or PV/envelope-tracing source,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC2841,6,independent replay freeze,freeze beta_cl before endpoint scoring,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC4157,7,lambda_spin,literature halo/spin or HIghMass-like dynamical modelling,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC4157,7,chi2_NFW,source-native dark-matter halo fit table,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC4157,7,chi2_ISO,same source-native halo fit table as chi2_NFW,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC4157,7,PV/envelope notes,HI velocity-field or PV/envelope-tracing source,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC4157,7,independent replay freeze,freeze beta_cl before endpoint scoring,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC4217,8,lambda_spin,literature halo/spin or HIghMass-like dynamical modelling,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC4217,8,chi2_NFW,source-native dark-matter halo fit table,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC4217,8,chi2_ISO,same source-native halo fit table as chi2_NFW,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC4217,8,PV/envelope notes,HI velocity-field or PV/envelope-tracing source,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC4217,8,independent replay freeze,freeze beta_cl before endpoint scoring,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC0801,9,lambda_spin,literature halo/spin or HIghMass-like dynamical modelling,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC0801,9,chi2_NFW,source-native dark-matter halo fit table,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC0801,9,chi2_ISO,same source-native halo fit table as chi2_NFW,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC0801,9,PV/envelope notes,HI velocity-field or PV/envelope-tracing source,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC0801,9,independent replay freeze,freeze beta_cl before endpoint scoring,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC3521,10,lambda_spin,literature halo/spin or HIghMass-like dynamical modelling,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC3521,10,chi2_NFW,source-native dark-matter halo fit table,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC3521,10,chi2_ISO,same source-native halo fit table as chi2_NFW,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC3521,10,PV/envelope notes,HI velocity-field or PV/envelope-tracing source,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC3521,10,independent replay freeze,freeze beta_cl before endpoint scoring,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC7331,11,lambda_spin,literature halo/spin or HIghMass-like dynamical modelling,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC7331,11,chi2_NFW,source-native dark-matter halo fit table,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC7331,11,chi2_ISO,same source-native halo fit table as chi2_NFW,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC7331,11,PV/envelope notes,HI velocity-field or PV/envelope-tracing source,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
NGC7331,11,independent replay freeze,freeze beta_cl before endpoint scoring,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
