galaxy,selected_spin_normalization_route,lambda_spin_prefreeze_value,source_value_column,source_artifact,prefreeze_value_status,beta_cl_replay_allowed,endpoint_scores_allowed,uses_vobs_or_residual,claim_boundary
NGC0891,BULLOCK_DISK_CONVERSION,0.0352494086104112,lambda_bullock_disk_proxy,data/derived/ugc12506_beta_closure_bullock_spin_conversion_proxy_values.csv,CAVEATED_BULLOCK_DISK_CONVERSION_REVIEW_ACCEPTED,False,False,False,ugc12506_beta_closure_spin_route_prefreeze_gate_not_endpoint
NGC7331,BULLOCK_DISK_CONVERSION,0.0325438896465119,lambda_bullock_disk_proxy,data/derived/ugc12506_beta_closure_bullock_spin_conversion_proxy_values.csv,CAVEATED_BULLOCK_DISK_CONVERSION_REVIEW_ACCEPTED,False,False,False,ugc12506_beta_closure_spin_route_prefreeze_gate_not_endpoint
NGC2841,BULLOCK_DISK_CONVERSION,0.0202436093494148,lambda_bullock_disk_proxy,data/derived/ugc12506_beta_closure_bullock_spin_conversion_proxy_values.csv,CAVEATED_BULLOCK_DISK_CONVERSION_REVIEW_ACCEPTED,False,False,False,ugc12506_beta_closure_spin_route_prefreeze_gate_not_endpoint
NGC0801,BULLOCK_DISK_CONVERSION,0.0291446646860498,lambda_bullock_disk_proxy,data/derived/ugc12506_beta_closure_bullock_spin_conversion_proxy_values.csv,CAVEATED_BULLOCK_DISK_CONVERSION_REVIEW_ACCEPTED,False,False,False,ugc12506_beta_closure_spin_route_prefreeze_gate_not_endpoint
NGC4013,BULLOCK_DISK_CONVERSION,0.0063132547644536,lambda_bullock_disk_proxy,data/derived/ugc12506_beta_closure_bullock_spin_conversion_proxy_values.csv,CAVEATED_BULLOCK_DISK_CONVERSION_REVIEW_ACCEPTED,False,False,False,ugc12506_beta_closure_spin_route_prefreeze_gate_not_endpoint
ESO563-G021,BULLOCK_DISK_CONVERSION,0.007163174850163,lambda_bullock_disk_proxy,data/derived/ugc12506_beta_closure_bullock_spin_conversion_proxy_values.csv,CAVEATED_BULLOCK_DISK_CONVERSION_REVIEW_ACCEPTED,False,False,False,ugc12506_beta_closure_spin_route_prefreeze_gate_not_endpoint
UGC11455,BULLOCK_DISK_CONVERSION,0.0066023362561842,lambda_bullock_disk_proxy,data/derived/ugc12506_beta_closure_bullock_spin_conversion_proxy_values.csv,CAVEATED_BULLOCK_DISK_CONVERSION_REVIEW_ACCEPTED,False,False,False,ugc12506_beta_closure_spin_route_prefreeze_gate_not_endpoint
IC4202,BULLOCK_DISK_CONVERSION,0.0678522425383182,lambda_bullock_disk_proxy,data/derived/ugc12506_beta_closure_bullock_spin_conversion_proxy_values.csv,CAVEATED_BULLOCK_DISK_CONVERSION_REVIEW_ACCEPTED,False,False,False,ugc12506_beta_closure_spin_route_prefreeze_gate_not_endpoint
NGC4157,BULLOCK_DISK_CONVERSION,0.0056393434209778,lambda_bullock_disk_proxy,data/derived/ugc12506_beta_closure_bullock_spin_conversion_proxy_values.csv,CAVEATED_BULLOCK_DISK_CONVERSION_REVIEW_ACCEPTED,False,False,False,ugc12506_beta_closure_spin_route_prefreeze_gate_not_endpoint
NGC3521,BULLOCK_DISK_CONVERSION,0.0026775580498303,lambda_bullock_disk_proxy,data/derived/ugc12506_beta_closure_bullock_spin_conversion_proxy_values.csv,CAVEATED_BULLOCK_DISK_CONVERSION_REVIEW_ACCEPTED,False,False,False,ugc12506_beta_closure_spin_route_prefreeze_gate_not_endpoint
NGC4217,BULLOCK_DISK_CONVERSION,0.0231037395500277,lambda_bullock_disk_proxy,data/derived/ugc12506_beta_closure_bullock_spin_conversion_proxy_values.csv,CAVEATED_BULLOCK_DISK_CONVERSION_REVIEW_ACCEPTED,False,False,False,ugc12506_beta_closure_spin_route_prefreeze_gate_not_endpoint
